City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Corinto,GR,37.9407,22.9573,63.9,79,96,6.78,overcast clouds
155,Mokrousovo,RU,55.8103,66.7653,11.46,93,58,7.09,broken clouds
156,Aykino,RU,62.2248,49.9922,22.12,86,100,9.37,overcast clouds
157,West Wendover,US,40.7391,-114.0733,45.61,66,1,0.0,clear sky
158,Thompson,CA,55.7435,-97.8558,26.76,93,90,3.44,light snow
159,Kalga,RU,50.9251,118.898,22.59,80,80,3.56,broken clouds
160,Coquimbo,CL,-29.9533,-71.3436,62.33,67,0,12.66,clear sky
161,Rio Hato,PA,8.3833,-80.1667,84.38,69,20,8.7,few clouds
162,Mareeba,AU,-17.0,145.4333,75.43,93,59,2.37,broken clouds
163,Bonavista,CA,48.6499,-53.1147,43.12,87,100,5.97,overcast clouds
164,Hokitika,NZ,-42.7167,170.9667,53.62,78,100,20.85,overcast clouds
165,Nador,MA,35.174,-2.9287,66.27,72,40,4.61,scattered clouds
166,Lexington,US,37.9887,-84.4777,42.94,54,20,1.01,few clouds
167,Ancud,CL,-41.8697,-73.8203,54.93,70,38,11.41,light rain
168,Jalu,LY,29.0331,21.5482,75.63,31,99,7.16,overcast clouds
169,Nagato,JP,34.3833,131.2,53.51,62,19,1.01,few clouds
170,Makakilo City,US,21.3469,-158.0858,74.28,76,75,3.44,broken clouds
171,Westport,US,41.1415,-73.3579,47.28,65,90,1.99,overcast clouds
172,West Richland,US,46.3043,-119.3614,65.35,61,1,1.99,clear sky
173,Kapaa,US,22.0752,-159.319,71.11,59,20,5.75,light rain
174,Wanaka,NZ,-44.7,169.15,43.63,95,95,6.91,overcast clouds
175,Moshenskoye,RU,58.5102,34.5911,28.72,79,93,7.83,overcast clouds
176,Gan Yavne,IL,31.7874,34.7066,71.74,57,1,4.74,clear sky
177,Bathsheba,BB,13.2167,-59.5167,88.41,62,40,25.32,scattered clouds
178,Cidreira,BR,-30.1811,-50.2056,73.22,74,75,20.11,broken clouds
179,Naze,JP,28.3667,129.4833,63.5,60,11,7.94,few clouds
180,Kahului,US,20.8947,-156.47,80.83,87,1,3.44,mist
181,Tukrah,LY,32.5341,20.5791,69.42,80,1,11.03,clear sky
182,Korla,CN,41.7597,86.1469,34.83,43,83,1.5,broken clouds
183,Fort Saint James,CA,54.4333,-124.25,29.34,94,100,4.7,light snow
184,Niteroi,BR,-22.8833,-43.1036,87.42,57,0,16.11,clear sky
185,San Andres,CO,12.5847,-81.7006,86.02,70,20,14.97,few clouds
186,Ruteng,ID,-8.6136,120.4721,62.58,93,95,0.63,moderate rain
187,Bhadasar,IN,28.2833,74.3167,70.57,18,0,7.2,clear sky
188,Geraldton,AU,-28.7667,114.6,61.21,88,90,4.61,overcast clouds
189,Mayo,US,38.8876,-76.5119,52.39,51,20,13.0,few clouds
190,Leh,IN,34.1667,77.5833,17.08,61,0,2.71,clear sky
191,Kavaratti,IN,10.5669,72.642,81.0,79,100,14.99,overcast clouds
192,Wewak,PG,-3.5534,143.6268,76.69,90,99,4.92,light rain
193,Idrinskoye,RU,54.3708,92.1358,19.06,96,97,2.75,overcast clouds
194,Fortuna,US,40.5982,-124.1573,54.32,100,1,0.0,clear sky
195,Kaka,TM,37.3482,59.6143,52.59,44,3,6.2,clear sky
196,Cabo San Lucas,MX,22.8909,-109.9124,94.51,47,100,1.99,overcast clouds
197,Yinchuan,CN,38.4681,106.2731,38.79,29,0,4.03,clear sky
198,Koumac,NC,-20.5667,164.2833,76.53,83,14,2.15,few clouds
199,Itarema,BR,-2.9248,-39.9167,85.87,62,37,16.33,scattered clouds
200,Leningradskiy,RU,69.3833,178.4167,14.25,95,100,7.65,overcast clouds
201,Hervey Bay,AU,-25.2986,152.8535,74.01,82,17,4.27,few clouds
202,Sioux Lookout,CA,50.1001,-91.917,26.98,80,90,2.3,light snow
203,Mangrol,IN,21.1167,70.1167,76.71,38,54,11.39,broken clouds
204,Bandarbeyla,SO,9.4942,50.8122,78.62,69,96,11.3,overcast clouds
205,Sirnak,TR,37.5228,42.4594,47.75,38,100,0.76,overcast clouds
206,Stromness,GB,58.965,-3.296,46.87,84,86,11.01,overcast clouds
207,Ust-Tsilma,RU,65.441,52.1498,23.07,83,100,11.65,overcast clouds
208,Bilma,NE,18.6853,12.9164,81.82,15,96,3.8,overcast clouds
209,Buenos Aires,AR,-34.6132,-58.3772,87.01,57,75,5.75,broken clouds
210,Berestechko,UA,50.3605,25.1107,41.0,70,89,8.88,overcast clouds
211,Soma,TR,39.1855,27.6094,54.99,79,86,8.21,overcast clouds
212,Northam,GB,51.0333,-4.2167,53.38,90,96,2.73,overcast clouds
213,Ust-Kalmanka,RU,52.1207,83.305,28.2,90,99,16.6,light snow
214,Isangel,VU,-19.55,169.2667,75.83,79,4,7.45,clear sky
215,Pangai,TO,-19.8,-174.35,77.11,69,40,11.5,scattered clouds
216,Dicabisagan,PH,17.0818,122.4157,77.74,91,88,7.52,light rain
217,Sangar,RU,63.9242,127.4739,-23.89,96,33,2.84,scattered clouds
218,Waingapu,ID,-9.6567,120.2641,80.24,81,100,3.47,overcast clouds
219,Grindavik,IS,63.8424,-22.4338,37.87,75,75,31.07,heavy intensity rain
220,Bellevue,US,47.6104,-122.2007,65.28,69,90,8.01,mist
221,Dauriya,RU,49.9333,116.8667,23.34,67,50,4.32,scattered clouds
222,Hami,CN,42.8,93.45,35.13,44,95,3.87,overcast clouds
223,Avarua,CK,-21.2078,-159.775,75.25,78,20,5.75,few clouds
224,Peto,MX,20.1333,-88.9167,84.85,46,56,3.58,broken clouds
225,Pisco,PE,-13.7,-76.2167,69.03,73,0,11.5,clear sky
226,Guasdualito,VE,7.2424,-70.7324,92.01,41,76,7.76,broken clouds
227,Chopda,IN,21.25,75.3,76.84,43,86,9.66,overcast clouds
228,Ponta Delgada,PT,37.7333,-25.6667,72.5,83,20,14.97,few clouds
229,Mar Del Plata,AR,-38.0023,-57.5575,71.62,86,40,24.0,scattered clouds
230,Faya,SA,18.3851,42.4509,62.71,67,1,3.47,clear sky
231,The Valley,AI,18.217,-63.0578,86.14,66,20,17.27,few clouds
232,Abbeville,FR,50.1,1.8333,48.16,79,80,7.67,broken clouds
233,Igarka,RU,67.4667,86.5833,-1.88,97,100,13.67,overcast clouds
234,Sibu,MY,2.3,111.8167,75.51,94,40,1.99,scattered clouds
235,Beringovskiy,RU,63.05,179.3167,28.85,81,100,15.12,overcast clouds
236,Kamenka,RU,51.3223,42.7678,28.78,79,61,16.13,broken clouds
237,Xai-Xai,MZ,-25.0519,33.6442,75.13,81,40,11.63,scattered clouds
238,Bat Khela,PK,34.6167,71.9714,56.3,27,0,6.55,clear sky
239,Aktau,KZ,43.65,51.2,39.78,71,100,12.03,overcast clouds
240,Mount Gambier,AU,-37.8333,140.7667,48.11,87,90,4.61,overcast clouds
241,Sao Filipe,CV,14.8961,-24.4956,76.05,79,90,9.55,overcast clouds
242,Chimore,BO,-16.9833,-65.1333,77.18,83,100,1.92,moderate rain
243,Khani,GE,41.9563,42.9566,47.77,94,99,2.46,overcast clouds
244,Vizinga,RU,61.0749,50.1031,21.4,87,100,8.77,overcast clouds
245,Kedougou,SN,12.5579,-12.1743,99.18,30,0,4.61,clear sky
246,Urengoy,RU,65.9667,78.3667,2.01,93,98,12.06,overcast clouds
247,Totskoye,RU,52.5248,52.7623,12.51,95,45,6.26,scattered clouds
248,Nuuk,GL,64.1835,-51.7216,18.21,57,75,10.36,broken clouds
249,Salalah,OM,17.0151,54.0924,76.32,54,1,2.26,clear sky
250,Ternate,ID,0.8,127.4,80.62,78,98,1.5,overcast clouds
251,Krasnyy Chikoy,RU,50.3643,108.7512,20.93,73,82,1.95,broken clouds
252,Upernavik,GL,72.7868,-56.1549,0.48,71,14,6.8,few clouds
253,Walvis Bay,NA,-22.9575,14.5053,65.35,77,0,9.22,clear sky
254,Caravelas,BR,-17.7125,-39.2481,76.71,59,81,9.8,broken clouds
255,Akyab,MM,20.15,92.9,78.12,83,97,5.53,overcast clouds
256,Nara,JP,34.6851,135.8049,54.68,75,28,1.81,scattered clouds
257,Iskateley,RU,67.6803,53.1512,19.35,91,99,9.19,overcast clouds
258,Tucuman,AR,-26.8241,-65.2226,84.2,45,7,4.61,clear sky
259,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,72,75,7.0,broken clouds
260,Namibe,AO,-15.1961,12.1522,75.83,73,90,13.8,light rain
261,Mabaruma,GY,8.2,-59.7833,83.52,71,14,6.11,few clouds
262,Trofors,NO,65.5333,13.4063,45.86,98,100,8.23,light rain
263,Buchanan,LR,5.8808,-10.0467,84.16,77,84,6.46,broken clouds
264,Mujiayingzi,CN,42.1167,118.7833,27.34,78,3,5.66,clear sky
265,Labuhan,ID,-6.8844,112.2051,76.32,88,100,5.23,overcast clouds
266,Chokurdakh,RU,70.6333,147.9167,5.31,96,99,1.7,overcast clouds
267,Greenfield,US,42.9614,-88.0126,35.55,58,1,1.99,clear sky
268,Lavrentiya,RU,65.5833,-171.0,14.05,89,83,8.25,broken clouds
269,Georgetown,MY,5.4112,100.3354,82.89,88,20,0.0,few clouds
270,Hualmay,PE,-11.0964,-77.6139,69.21,71,66,10.63,broken clouds
271,Camocim,BR,-2.9022,-40.8411,85.1,65,82,16.02,broken clouds
272,Zhovti Vody,UA,48.3473,33.5003,35.26,65,2,11.7,clear sky
273,Candelaria,PH,13.9311,121.4233,79.39,91,59,6.17,broken clouds
274,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.07,92,97,0.58,overcast clouds
275,Hovd,MN,48.0056,91.6419,29.64,45,89,9.37,overcast clouds
276,Necochea,AR,-38.5473,-58.7368,74.03,53,88,21.9,overcast clouds
277,Saint-Paul,RE,-21.0096,55.2707,77.09,92,62,6.44,broken clouds
278,Santa Clara,CU,22.4,-79.9667,79.34,74,96,12.3,overcast clouds
279,Saiha,IN,22.4833,92.9667,65.07,98,68,2.39,broken clouds
280,Taoudenni,ML,22.6783,-3.9836,79.21,13,47,9.62,scattered clouds
281,Lagos,NG,6.5833,3.75,80.92,84,92,6.11,overcast clouds
