City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Katsuura,JP,2021-11-14 06:01:37,35.1333,140.3,70.2,57,72,15.46
109,Suez,EG,2021-11-14 06:01:38,29.9737,32.5263,71.94,49,3,0.56
110,Vao,NC,2021-11-14 06:01:38,-22.6667,167.4833,77.47,75,9,6.08
111,Iqaluit,CA,2021-11-14 06:01:38,63.7506,-68.5145,-4.31,70,37,17.0
112,Wanning,CN,2021-11-14 06:01:39,18.8003,110.3967,78.1,63,55,12.46
113,Tuktoyaktuk,CA,2021-11-14 06:01:39,69.4541,-133.0374,17.6,93,90,10.36
114,Upernavik,GL,2021-11-14 06:01:39,72.7868,-56.1549,4.17,94,99,5.88
115,Makakilo City,US,2021-11-14 06:01:40,21.3469,-158.0858,76.57,69,98,1.16
116,Prieska,ZA,2021-11-14 06:01:40,-29.6641,22.7474,74.68,25,49,11.43
117,Nago,JP,2021-11-14 06:01:40,26.5881,127.9761,73.47,72,100,16.15
118,College,US,2021-11-14 06:01:40,64.8569,-147.8028,-1.71,81,29,0.83
119,Nova Venecia,BR,2021-11-14 06:01:41,-18.7106,-40.4006,63.28,92,100,4.05
120,Nangomba,TZ,2021-11-14 06:01:41,-10.9,38.5,83.7,52,14,6.31
121,Atuona,PF,2021-11-14 06:01:42,-9.8,-139.0333,77.74,71,0,13.04
122,Arraial Do Cabo,BR,2021-11-14 06:01:42,-22.9661,-42.0278,67.46,64,79,8.46
123,Castro,BR,2021-11-14 06:01:42,-24.7911,-50.0119,48.96,92,82,8.75
124,Berberati,CF,2021-11-14 06:01:43,4.2612,15.7922,69.73,96,98,1.12
125,Seddon,AU,2021-11-14 06:01:43,-37.8068,144.8916,58.71,67,75,10.0
126,Det Udom,TH,2021-11-14 06:01:43,14.906,105.0784,84.04,62,81,6.76
127,Filadelfia,US,2021-11-14 05:58:23,39.9523,-75.1638,40.87,72,2,1.01
128,Kapaa,US,2021-11-14 06:01:44,22.0752,-159.319,74.12,59,93,5.17
129,Esperance,AU,2021-11-14 06:01:44,-33.8667,121.9,63.82,52,14,18.48
130,Nigran,ES,2021-11-14 06:01:44,42.1415,-8.8066,53.64,84,19,1.99
131,Flinders,AU,2021-11-14 06:01:45,-34.5833,150.8552,72.21,55,51,17.69
132,Busselton,AU,2021-11-14 06:01:45,-33.65,115.3333,79.09,37,95,9.48
133,Mahebourg,MU,2021-11-14 06:01:45,-20.4081,57.7,81.25,68,90,12.68
134,Pisco,PE,2021-11-14 06:01:46,-13.7,-76.2167,60.03,88,55,5.73
135,Konakovo,RU,2021-11-14 06:01:46,56.7,36.7667,32.97,93,100,3.09
136,Corbasca,RO,2021-11-14 06:01:47,46.2833,27.1667,42.19,86,100,8.63
137,Baft,IR,2021-11-14 06:01:47,29.234,56.6057,52.65,23,0,1.01
138,Cabo San Lucas,MX,2021-11-14 06:01:27,22.8909,-109.9124,76.51,74,33,6.73
139,Bethel,US,2021-11-14 06:02:47,41.3712,-73.414,40.5,78,1,1.01
140,Broken Hill,AU,2021-11-14 06:02:48,-31.95,141.4333,65.71,31,11,25.28
141,Hithadhoo,MV,2021-11-14 06:02:48,-0.6,73.0833,82.65,74,35,12.59
142,Nemuro,JP,2021-11-14 06:02:48,43.3236,145.575,53.29,80,41,20.22
143,Port Hedland,AU,2021-11-14 06:02:49,-20.3167,118.5667,91.45,24,15,16.11
144,Belyy Yar,RU,2021-11-14 06:02:49,53.6039,91.3903,37.85,56,0,4.47
145,Melfi,IT,2021-11-14 06:02:49,40.9965,15.6514,50.23,90,61,5.1
146,Souillac,MU,2021-11-14 06:02:50,-20.5167,57.5167,81.36,63,59,13.15
147,Dawlatabad,AF,2021-11-14 06:02:50,36.4141,64.9053,49.46,68,96,1.97
148,Guerrero Negro,MX,2021-11-14 06:02:51,27.9769,-114.0611,68.11,55,35,6.76
149,Alyangula,AU,2021-11-14 06:02:51,-13.8483,136.4192,85.5,43,97,17.11
150,Olafsvik,IS,2021-11-14 06:02:51,64.8945,-23.7142,46.4,94,100,33.46
151,Abatskoye,RU,2021-11-14 06:02:52,56.2875,70.4555,25.39,95,96,4.99
152,Shihezi,CN,2021-11-14 06:02:52,44.3,86.0333,41.14,38,47,3.2
153,Barrow,US,2021-11-14 06:02:53,71.2906,-156.7887,19.42,68,90,17.27
154,Qaanaaq,GL,2021-11-14 06:02:53,77.484,-69.3632,-10.28,56,0,8.21
155,Flin Flon,CA,2021-11-14 06:02:53,54.7682,-101.865,24.96,96,98,4.27
156,Sitka,US,2021-11-14 06:02:54,57.0531,-135.33,33.69,86,40,0.0
157,Dingle,PH,2021-11-14 06:02:54,10.9995,122.6711,86.11,72,88,9.75
158,Santa Rosa,PH,2021-11-14 06:02:54,14.3122,121.1114,89.11,68,46,10.85
159,Marsh Harbour,BS,2021-11-14 05:57:59,26.5412,-77.0636,77.79,73,100,6.73
160,Arman,RU,2021-11-14 06:02:55,59.7,150.1667,30.83,96,100,2.95
161,Canete,CL,2021-11-14 06:02:56,-37.8,-73.4,42.6,97,20,3.04
162,Praia Da Vitoria,PT,2021-11-14 06:02:56,38.7333,-27.0667,60.76,86,100,22.21
163,Gustavo Diaz Ordaz,MX,2021-11-14 06:02:56,26.2333,-98.5833,66.88,70,5,7.34
164,Creel,MX,2021-11-14 06:02:57,27.75,-107.6333,46.83,40,4,5.14
165,Bacolod,PH,2021-11-14 06:02:57,10.6667,122.95,86.36,72,67,10.98
166,Taylorville,US,2021-11-14 06:01:49,39.5489,-89.2945,36.0,73,98,10.42
167,Polyarnyy,RU,2021-11-14 06:02:58,69.1989,33.4478,21.67,92,99,7.72
168,Ahipara,NZ,2021-11-14 06:02:58,-35.1667,173.1667,65.21,86,32,11.95
169,Coari,BR,2021-11-14 06:01:17,-4.085,-63.1414,71.55,98,86,1.48
170,Huallanca,PE,2021-11-14 06:02:59,-9.8993,-76.9417,45.86,83,100,1.16
171,Dasoguz,TM,2021-11-14 06:02:59,41.8363,59.9666,46.51,66,33,16.22
172,Kaitangata,NZ,2021-11-14 06:02:59,-46.2817,169.8464,55.92,86,100,4.07
173,Los Llanos De Aridane,ES,2021-11-14 06:03:00,28.6585,-17.9182,64.15,72,90,8.99
174,Puerto Escondido,MX,2021-11-14 06:03:00,15.85,-97.0667,75.72,58,29,5.35
175,Provideniya,RU,2021-11-14 06:03:00,64.3833,-173.3,23.86,94,99,2.44
176,Kawalu,ID,2021-11-14 06:03:01,-7.3817,108.2082,75.09,90,100,0.58
177,Ulladulla,AU,2021-11-14 06:03:01,-35.35,150.4667,63.5,56,35,17.72
178,Tiksi,RU,2021-11-14 06:03:02,71.6872,128.8694,-11.81,99,95,6.29
179,Fortuna,US,2021-11-14 06:03:02,40.5982,-124.1573,53.65,74,90,8.05
180,Walvis Bay,NA,2021-11-14 06:03:02,-22.9575,14.5053,57.09,74,10,4.68
181,Dover,US,2021-11-14 06:03:03,39.1582,-75.5244,41.95,75,1,6.91
182,Hamilton,US,2021-11-14 06:03:03,39.1834,-84.5333,37.89,74,90,1.99
183,Iquique,CL,2021-11-14 06:02:23,-20.2208,-70.1431,61.27,73,26,1.72
184,Gimli,CA,2021-11-14 06:04:04,50.6336,-96.9907,20.43,93,100,7.27
185,Peniche,PT,2021-11-14 06:04:04,39.3558,-9.3811,59.61,65,27,4.27
186,Namatanai,PG,2021-11-14 06:04:05,-3.6667,152.4333,83.89,70,81,10.51
187,Brae,GB,2021-11-14 06:04:05,60.3964,-1.353,51.71,90,97,25.39
188,Kahului,US,2021-11-14 06:02:33,20.8947,-156.47,73.98,79,88,4.09
189,Lavrentiya,RU,2021-11-14 06:04:06,65.5833,-171.0,12.4,96,84,5.57
190,Kushiro,JP,2021-11-14 06:04:06,42.975,144.3747,51.48,86,60,10.56
191,Bambanglipuro,ID,2021-11-14 06:04:06,-7.95,110.2833,65.61,83,100,5.44
192,Ojinaga,MX,2021-11-14 06:04:07,29.5667,-104.4167,61.41,38,1,6.91
193,Petropavlovsk-Kamchatskiy,RU,2021-11-14 06:04:07,53.0452,158.6483,37.99,56,20,8.95
194,Torbay,CA,2021-11-14 06:01:13,47.6666,-52.7314,56.28,95,100,7.0
195,Coihaique,CL,2021-11-14 06:04:08,-45.5752,-72.0662,46.35,71,40,5.75
196,Belaya Gora,RU,2021-11-14 06:04:08,68.5333,146.4167,-3.14,99,98,0.22
197,Chara,RU,2021-11-14 06:04:09,56.9064,118.2631,11.57,87,49,0.65
198,Cap Malheureux,MU,2021-11-14 06:01:09,-19.9842,57.6142,81.46,66,99,10.0
199,Camana,PE,2021-11-14 06:04:09,-16.6228,-72.7111,64.08,82,95,5.44
200,Lagoa,PT,2021-11-14 06:04:10,39.05,-27.9833,61.57,73,100,31.52
201,Jabinyanah,TN,2021-11-14 06:04:10,35.035,10.9081,61.86,73,77,4.41
202,Acapulco,MX,2021-11-14 06:03:01,16.8634,-99.8901,76.06,68,0,5.46
203,Aloleng,PH,2021-11-14 06:04:10,16.1307,119.7824,86.16,69,77,10.47
204,Villa Del Rosario,CO,2021-11-14 06:04:11,7.8339,-72.4742,70.32,93,94,2.39
205,Cururupu,BR,2021-11-14 06:04:11,-1.8283,-44.8683,74.73,90,22,2.66
206,Raton,US,2021-11-14 06:04:12,36.9034,-104.4391,40.05,37,1,10.36
207,San Vicente,AR,2021-11-14 06:04:12,-26.6167,-54.1333,60.44,79,41,3.8
208,Salalah,OM,2021-11-14 06:04:12,17.0151,54.0924,86.09,37,0,5.75
209,Saskylakh,RU,2021-11-14 06:04:13,71.9167,114.0833,-15.75,95,12,8.63
210,Henties Bay,NA,2021-11-14 06:04:13,-22.116,14.2845,56.86,84,78,3.29
211,Lompoc,US,2021-11-14 06:04:13,34.6391,-120.4579,68.52,67,1,6.91
212,Victoria,HK,2021-11-14 06:00:58,22.2855,114.1577,82.22,52,11,3.0
213,Mao,ES,2021-11-14 06:04:14,39.8885,4.2658,59.56,77,20,9.22
214,San Andres,CO,2021-11-14 06:01:27,12.5847,-81.7006,82.15,77,93,15.61
215,Bara,NG,2021-11-14 06:04:14,10.3744,10.7288,75.04,31,26,1.77
216,Saldanha,ZA,2021-11-14 06:04:15,-33.0117,17.9442,64.44,73,44,11.92
217,Meadow Lake,US,2021-11-14 06:02:23,34.8014,-106.5436,54.88,44,61,5.64
218,Araguacu,BR,2021-11-14 06:04:15,-12.9306,-49.8264,71.83,94,91,2.44
219,Ust-Kuyga,RU,2021-11-14 06:04:16,70.0167,135.6,-13.56,100,91,4.9
220,Port Huron,US,2021-11-14 06:00:56,42.9709,-82.4249,39.97,77,90,3.0
221,Bengkulu,ID,2021-11-14 06:04:16,-3.8004,102.2655,84.0,71,74,8.1
222,Krasnoselkup,RU,2021-11-14 06:04:16,65.7,82.4667,-2.09,97,83,10.47
223,Emba,KZ,2021-11-14 06:04:17,48.8264,58.1442,28.44,70,100,18.84
224,Faya,SA,2021-11-14 06:04:17,18.3851,42.4509,66.72,30,0,1.03
225,Dikson,RU,2021-11-14 06:04:17,73.5069,80.5464,-11.65,96,12,6.96
226,Kurri Kurri,AU,2021-11-14 06:04:18,-32.8167,151.4833,74.68,33,40,13.18
227,Cabedelo,BR,2021-11-14 06:04:18,-6.9811,-34.8339,75.87,71,93,10.16
228,Griffith,US,2021-11-14 06:05:18,41.5284,-87.4237,35.46,84,90,1.01
229,Kawhia,NZ,2021-11-14 06:05:19,-38.0651,174.8183,67.75,94,53,15.32
230,Half Moon Bay,US,2021-11-14 06:05:19,37.4636,-122.4286,65.86,82,90,5.75
231,Avera,US,2021-11-14 06:05:19,33.194,-82.5271,46.27,59,0,6.04
232,Pacific Grove,US,2021-11-14 06:01:44,36.6177,-121.9166,64.38,73,0,1.99
233,Zyryanka,RU,2021-11-14 06:05:20,65.75,150.85,2.61,95,100,8.32
234,Lata,PT,2021-11-14 06:05:20,40.1629,-8.3327,53.82,67,10,4.21
235,Chuy,UY,2021-11-14 06:05:20,-33.6971,-53.4616,63.63,77,62,16.2
236,Sandy Bay,AU,2021-11-14 06:05:21,-42.913,147.3532,51.1,67,75,4.0
237,Rawson,AR,2021-11-14 06:05:21,-43.3002,-65.1023,57.34,43,96,29.62
238,Ostrovnoy,RU,2021-11-14 06:05:22,68.0531,39.5131,32.13,73,100,19.73
239,Brainerd,US,2021-11-14 06:05:22,46.358,-94.2008,28.69,86,90,12.66
240,Ilulissat,GL,2021-11-14 06:05:22,69.2167,-51.1,-11.94,69,44,6.04
241,Port-Cartier,CA,2021-11-14 06:05:23,50.0334,-66.8654,33.75,91,100,7.25
242,Keti Bandar,PK,2021-11-14 06:05:23,24.1447,67.4497,83.8,37,1,8.32
243,Orlik,RU,2021-11-14 06:05:23,52.5178,99.825,24.33,73,69,2.33
244,Axim,GH,2021-11-14 06:05:24,4.8699,-2.2405,78.08,83,10,3.74
245,Kashin,RU,2021-11-14 06:05:24,57.3592,37.6081,33.57,94,100,3.62
246,Honiara,SB,2021-11-14 06:05:24,-9.4333,159.95,83.32,78,28,2.17
247,Slave Lake,CA,2021-11-14 06:01:13,55.2834,-114.769,31.71,70,64,4.79
248,Yerbogachen,RU,2021-11-14 06:05:25,61.2767,108.0108,15.06,93,100,6.55
249,Ramos Arizpe,MX,2021-11-14 06:05:25,25.55,-100.9667,51.8,76,2,1.88
250,Zhuhai,CN,2021-11-14 06:05:01,22.2769,113.5678,81.97,49,0,9.22
251,Saint-Ambroise,CA,2021-11-14 06:05:26,48.5501,-71.3324,39.58,98,100,3.49
252,Jasper,US,2021-11-14 06:01:13,37.2001,-94.3502,47.14,50,86,5.01
253,Augusto Correa,BR,2021-11-14 06:05:26,-1.0217,-46.635,76.23,88,20,1.86
254,Chumikan,RU,2021-11-14 06:05:26,54.7183,135.315,22.46,65,100,17.98
255,Ust-Maya,RU,2021-11-14 06:05:27,60.4167,134.5333,1.38,92,100,6.02
256,Benghazi,LY,2021-11-14 06:05:27,32.1167,20.0667,66.9,64,99,14.61
257,Uarini,BR,2021-11-14 06:05:28,-2.99,-65.1083,71.82,99,66,0.31
258,Saint George,US,2021-11-14 06:05:28,37.1041,-113.5841,65.35,50,1,8.05
259,Pevek,RU,2021-11-14 06:05:28,69.7008,170.3133,12.29,94,100,1.95
260,Uzunovo,RU,2021-11-14 06:05:29,54.5386,38.6173,34.57,90,100,1.81
261,Seymchan,RU,2021-11-14 06:05:29,62.8833,152.4333,7.99,95,100,7.45
262,Joensuu,FI,2021-11-14 06:05:29,62.6012,29.7632,33.28,91,75,5.75
263,Asau,RO,2021-11-14 06:05:30,46.4333,26.4,40.28,79,100,2.55
264,Lebu,CL,2021-11-14 06:05:30,-37.6167,-73.65,48.04,83,14,4.45
265,Cayenne,GF,2021-11-14 06:05:30,4.9333,-52.3333,79.09,87,75,1.99
266,Fukue,JP,2021-11-14 06:05:31,32.6881,128.8419,63.34,52,48,12.15
267,Severo-Kurilsk,RU,2021-11-14 06:05:31,50.6789,156.125,38.68,73,59,23.13
268,Wagar,SD,2021-11-14 06:05:31,16.1525,36.2032,82.44,14,0,9.95
269,Muravlenko,RU,2021-11-14 06:05:32,63.7898,74.523,-1.34,81,2,6.02
270,Saint Anthony,US,2021-11-14 06:05:32,45.0205,-93.218,35.55,91,90,1.99
271,Port Lincoln,AU,2021-11-14 06:05:33,-34.7333,135.8667,58.86,51,68,19.98
272,Ambon,ID,2021-11-14 06:05:33,-3.6954,128.1814,89.74,58,40,3.44
273,Jemnice,CZ,2021-11-14 06:05:33,49.019,15.5699,39.31,88,72,2.21
274,San Pedro,PH,2021-11-14 06:05:34,14.35,121.0167,88.36,67,48,9.51
275,Slavgorodskoye,RU,2021-11-14 06:06:34,53.0214,78.6435,29.3,84,90,17.05
276,Mount Isa,AU,2021-11-14 06:06:35,-20.7333,139.5,82.17,17,6,13.8
277,Cidreira,BR,2021-11-14 06:06:35,-30.1811,-50.2056,65.64,79,0,23.89
278,Alekseyevsk,RU,2021-11-14 06:06:35,57.8406,108.3492,25.65,93,100,7.43
279,Yar-Sale,RU,2021-11-14 06:06:36,66.8333,70.8333,2.41,98,75,5.99
280,Tahoua,NE,2021-11-14 06:06:36,14.8888,5.2692,76.24,18,4,6.58
281,Hameln,DE,2021-11-14 06:06:36,52.104,9.3562,46.65,90,99,3.06
282,Champerico,GT,2021-11-14 06:06:37,14.3,-91.9167,79.36,83,3,5.61
283,Grand-Santi,GF,2021-11-14 06:06:37,4.25,-54.3833,71.73,99,61,2.19
284,Kualakapuas,ID,2021-11-14 06:06:37,-3.0091,114.3876,91.56,62,98,1.54
285,Sola,VU,2021-11-14 06:06:38,-13.8833,167.55,82.69,71,100,14.36
286,Waipawa,NZ,2021-11-14 06:06:38,-41.4122,175.5153,63.23,61,5,20.22
287,Prince Rupert,CA,2021-11-14 06:03:43,54.3161,-130.3201,40.51,86,100,3.6
288,Chifeng,CN,2021-11-14 06:06:38,42.2683,118.9636,43.16,43,20,9.31
289,Urgut,UZ,2021-11-14 06:06:38,39.4022,67.2431,37.02,59,48,4.7
290,Vila Velha,BR,2021-11-14 06:06:39,-20.3297,-40.2925,64.35,95,90,3.44
291,Kirakira,SB,2021-11-14 06:06:39,-10.4544,161.9205,83.39,74,60,5.26
292,Nhulunbuy,AU,2021-11-14 06:06:39,-12.2333,136.7667,88.41,42,100,23.02
293,Klaksvik,FO,2021-11-14 06:06:40,62.2266,-6.589,50.92,97,100,29.51
294,Bani Walid,LY,2021-11-14 06:06:40,31.7566,13.9942,62.15,60,42,4.85
