City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
519,Pekan,MY,78.06,broken clouds,3.4836,103.3996,Pekan Budget Hotel
520,Galle,LK,80.17,light rain,6.0367,80.217,Amangalla
522,Am Timan,TD,85.48,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
523,Pedreiras,BR,83.98,broken clouds,-4.5688,-44.6003,Hotel Princesa do Mearim
525,Honiara,SB,77.85,overcast clouds,-9.4333,159.95,Heritage Park Hotel
528,Cartagena,CO,84.31,overcast clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
529,Vitoria,BR,75.85,broken clouds,-20.3194,-40.3378,Hotel Prata
531,Bubaque,GW,84.18,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
533,Manaure,CO,89.67,scattered clouds,11.7751,-72.4445,Hotel Palaaima
534,San Policarpo,PH,80.53,light rain,12.1791,125.5072,Agapita M. Nicart
535,Jizan,SA,83.03,clear sky,17.3333,42.6667,شهدان. ابوالحجر
537,Joacaba,BR,84.09,scattered clouds,-27.1781,-51.5047,Hotel Jaraguá
538,Alibag,IN,86.07,light rain,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
541,Sompeta,IN,76.93,broken clouds,18.9333,84.6,Netaji's Home
543,Rio Grande,BR,80.94,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
546,Saquarema,BR,78.94,broken clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
547,Harper,LR,80.58,scattered clouds,4.375,-7.7169,Screensaver
549,Amapa,BR,87.98,overcast clouds,1.0,-52.0,
551,Ndele,CF,80.98,few clouds,8.4109,20.6473,
556,Mogwase,ZA,81.64,scattered clouds,-25.185,27.2665,De Skaap Accommodation & Event Venue
563,Arlit,NE,84.2,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
565,Sibolga,ID,76.17,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
566,Ixtapa,MX,84.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
574,Paka,MY,78.22,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
575,Sorong,ID,77.34,light rain,-0.8833,131.25,waigo splash hotel
578,Adilabad,IN,75.34,scattered clouds,19.6667,78.5333,Dwaraka Hotel.
579,Calama,CL,75.69,scattered clouds,-22.4667,-68.9333,Diego De Almagro Calama
580,Presidencia Roque Saenz Pena,AR,89.76,broken clouds,-26.7852,-60.4388,Hotel Aconcagua
581,Noumea,NC,79.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
587,Bogande,BF,88.41,broken clouds,12.9714,-0.1436,Auberge Wendkouni
589,Abu Zabad,SD,80.19,broken clouds,12.35,29.25,حامد محمد نور
593,Axim,GH,80.26,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
597,Umm Lajj,SA,78.06,clear sky,25.0213,37.2685,Moon light Furnished Units
598,Puerto Escondido,MX,85.48,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
601,Kattivakkam,IN,80.08,broken clouds,13.2167,80.3167,Euronova Freezer
602,Azare,NG,84.97,scattered clouds,11.6765,10.1948,Muk hostel
603,Tessalit,ML,80.2,broken clouds,20.1986,1.0114,
604,Pathardi,IN,76.53,broken clouds,19.1667,75.1833,श्रुतिमाऊली वेद पाठशाळा
607,Labuan,MY,78.96,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
608,Vanimo,PG,75.74,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
609,Apatou,GF,82.27,scattered clouds,5.155,-54.3472,Yoto quensha
610,Vao,NC,75.76,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
615,Saint-Georges,GD,83.25,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
619,Karratha,AU,78.35,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
620,Sabang,ID,81.18,light rain,5.8933,95.3214,Hotel Citra
622,Luanda,AO,78.01,overcast clouds,-8.8368,13.2343,Hotel Fórum
625,Praia,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
626,San Vicente,AR,85.91,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
627,Rapar,IN,76.57,broken clouds,23.5667,70.6333,Dharamshi Bapa’s Home
628,Latung,PH,82.15,overcast clouds,5.5,120.8833,
634,Lakatoro,VU,79.56,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
635,Tadine,NC,75.25,few clouds,-21.55,167.8833,
637,Florianopolis,BR,75.43,overcast clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
639,Bacolod,PH,77.88,broken clouds,10.6667,122.95,Planta Hotel & Residences
645,Buluang,PH,76.87,overcast clouds,13.3068,123.3425,Enon Beach Resort
646,Camopi,GF,86.99,overcast clouds,3.1655,-52.3158,La pousada
647,Usmajac,MX,75.02,scattered clouds,19.8667,-103.5667,Gran Casa Sayula Hotel Galeria And Spa
651,Santa Rosa,PH,82.9,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
656,Matara,LK,78.22,light rain,5.9485,80.5353,Amaloh Boutique Resort
659,Chokwe,MZ,83.16,broken clouds,-24.5333,32.9833,Complexo Sonho Real
664,Yabassi,CM,76.33,moderate rain,4.457,9.9682,MOTEL FOMI
665,Namatanai,PG,78.98,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
669,Tamiahua,MX,79.63,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
670,Paita,PE,77.56,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
673,Norsup,VU,79.68,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
678,Acarau,BR,85.96,broken clouds,-2.8856,-40.12,castelo pizzaria
684,Tandil,AR,84.31,broken clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
689,West Bay,KY,86.07,scattered clouds,19.3667,-81.4167,Calypso Cove
690,Malakal,SS,80.94,broken clouds,9.5334,31.6605,Nile Palace Hotel
694,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
